risk_band,service_policy,risk_multiplier,observations,mean_pre7_stockout_hours,mean_forecast,mean_adjusted_demand,mean_safety_stock,mean_inventory_target,mean_shortage,mean_excess,mean_fill_rate,mean_coverage
HIGH,SL80,0.0,24928,3.1418198697964423,7.03603671164927,7.062354751318125,1.0171297066626797,8.05316641831195,0.2967213975079264,1.2875330645017509,0.9812957531031387,1.3365120798432366
HIGH,SL80,0.1,24928,3.1418198697964423,7.03603671164927,7.062354751318125,1.0171297066626797,8.211867586832554,0.2559169702832294,1.4054298057976575,0.9839619494204599,1.3627328810356185
HIGH,SL80,0.2,24928,3.1418198697964423,7.03603671164927,7.062354751318125,1.0171297066626797,8.370568755353156,0.22010521651783674,1.5283192205528693,0.9862470528546509,1.3889536822280009
HIGH,SL80,0.3,24928,3.1418198697964423,7.03603671164927,7.062354751318125,1.0171297066626797,8.52926992387376,0.18931618563080757,1.6562313581864434,0.988197709127496,1.4151744834203825
HIGH,SL90,0.0,24928,3.1418198697964423,7.03603671164927,7.062354751318125,2.2448226899726413,9.28085940162191,0.16296442153265012,2.3814690718364364,0.9930123109608534,1.630194306950658
HIGH,SL90,0.1,24928,3.1418198697964423,7.03603671164927,7.062354751318125,2.2448226899726413,9.46366744992885,0.137230493416265,2.5385431920269905,0.9941367016021876,1.6621738576131684
HIGH,SL90,0.2,24928,3.1418198697964423,7.03603671164927,7.062354751318125,2.2448226899726413,9.64647549823579,0.11526805874850525,2.6993888056661706,0.9950766136496407,1.6941534082756788
HIGH,SL90,0.3,24928,3.1418198697964423,7.03603671164927,7.062354751318125,2.2448226899726413,9.82928354654273,0.09693146990622764,2.863860265130832,0.9958682313672376,1.7261329589381893
HIGH,SL95,0.0,24928,3.1418198697964423,7.03603671164927,7.062354751318125,3.7097778411500197,10.74581455279929,0.09313480371279095,3.776594605193955,0.9971825983145255,1.9807092871204812
HIGH,SL95,0.1,24928,3.1418198697964423,7.03603671164927,7.062354751318125,3.7097778411500197,10.957388648886726,0.07666955128506812,3.9717034488536687,0.997685290680822,2.0195621452507453
HIGH,SL95,0.2,24928,3.1418198697964423,7.03603671164927,7.062354751318125,3.7097778411500197,11.168962744974163,0.06316475809917502,4.169772751755213,0.9981038239700175,2.0584150033810094
